"N_t","metric","mean","min","max","phase","strategy"
13,"Rare Alleles",0.209760693178403,0.191826104377442,0.221877191225083,"Additional sampling","1 indv. per site"
14,"Rare Alleles",0.225802564359411,0.20955624561755,0.240108183912652,"Additional sampling","1 indv. per site"
15,"Rare Alleles",0.244427626965842,0.224681959330862,0.257137133126315,"Additional sampling","1 indv. per site"
16,"Rare Alleles",0.263505859961935,0.246719423019133,0.278172893919663,"Additional sampling","1 indv. per site"
17,"Rare Alleles",0.277972152659521,0.261544625863969,0.291395372132625,"Additional sampling","1 indv. per site"
18,"Rare Alleles",0.294346188520485,0.277571872182711,0.307622959030352,"Additional sampling","1 indv. per site"
6,"Common Alleles",0.456792468519838,0.331551437396056,0.490258968876218,"Additional sampling","5 indv. per site"
7,"Common Alleles",0.533320147303397,0.4488001900689,0.616654787360418,"Additional sampling","5 indv. per site"
8,"Common Alleles",0.580718341648848,0.455571394630554,0.682584937039677,"Additional sampling","5 indv. per site"
9,"Common Alleles",0.606166785459729,0.457709669755286,0.733547160845807,"Additional sampling","5 indv. per site"
10,"Common Alleles",0.6301022808268,0.46032311712996,0.762176288904728,"Additional sampling","5 indv. per site"
11,"Common Alleles",0.708968638631504,0.542884295557139,0.813613684960798,"Additional sampling","5 indv. per site"
12,"Common Alleles",0.741608695652174,0.592777381800903,0.841292468519838,"Additional sampling","5 indv. per site"
13,"Common Alleles",0.760734853884533,0.597410311237824,0.8583986695177,"Additional sampling","5 indv. per site"
14,"Common Alleles",0.776297695414588,0.59824186267522,0.879781420765027,"Additional sampling","5 indv. per site"
15,"Common Alleles",0.784364457115704,0.600380137799952,0.891304347826087,"Additional sampling","5 indv. per site"
16,"Common Alleles",0.822401282965075,0.658351152292706,0.909004514136374,"Additional sampling","5 indv. per site"
17,"Common Alleles",0.841069969113804,0.691613209788548,0.916132097885483,"Additional sampling","5 indv. per site"
18,"Common Alleles",0.850941316227132,0.693513898788311,0.926229508196721,"Additional sampling","5 indv. per site"
19,"Common Alleles",0.860096697552863,0.688049417913994,0.935257780945593,"Additional sampling","5 indv. per site"
20,"Common Alleles",0.864812782133523,0.69672131147541,0.935732953195533,"Additional sampling","5 indv. per site"
21,"Common Alleles",0.886584224281302,0.74815870753148,0.945711570444286,"Additional sampling","5 indv. per site"
22,"Common Alleles",0.896713708719411,0.768709907341411,0.9488001900689,"Additional sampling","5 indv. per site"
23,"Common Alleles",0.903472083630316,0.775956284153005,0.954977429318128,"Additional sampling","5 indv. per site"
24,"Common Alleles",0.909056664290805,0.792468519838441,0.960441910192445,"Additional sampling","5 indv. per site"
25,"Common Alleles",0.912009622238061,0.782371109527204,0.962698978379663,"Additional sampling","5 indv. per site"
26,"Common Alleles",0.922904609170824,0.814207650273224,0.969945355191257,"Additional sampling","5 indv. per site"
27,"Common Alleles",0.931024827750059,0.846044191019244,0.968757424566405,"Additional sampling","5 indv. per site"
28,"Common Alleles",0.934396412449513,0.846519363269185,0.97232121644096,"Additional sampling","5 indv. per site"
