"N_t","metric","mean","min","max","phase","strategy"
28,"Prop. kinship > 0.0442",0.0692354497354497,0.0264550264550265,0.14021164021164,"Additional sampling","5 indv. per site"
29,"Prop. kinship > 0.0442",0.0680394088669951,0.0246305418719212,0.133004926108374,"Additional sampling","5 indv. per site"
30,"Prop. kinship > 0.0442",0.0658620689655172,0.0252873563218391,0.137931034482759,"Additional sampling","5 indv. per site"
31,"Prop. kinship > 0.0442",0.0629032258064516,0.021505376344086,0.124731182795699,"Additional sampling","5 indv. per site"
32,"Prop. kinship > 0.0442",0.0597358870967742,0.0241935483870968,0.106854838709677,"Additional sampling","5 indv. per site"
33,"Prop. kinship > 0.0442",0.0570492424242424,0.0208333333333333,0.104166666666667,"Additional sampling","5 indv. per site"
34,"Prop. kinship > 0.0442",0.056,0.0231729055258467,0.117647058823529,"Additional sampling","5 indv. per site"
35,"Prop. kinship > 0.0442",0.0544268907563025,0.0201680672268908,0.105882352941176,"Additional sampling","5 indv. per site"
36,"Prop. kinship > 0.0442",0.0524714285714286,0.019047619047619,0.0984126984126984,"Additional sampling","5 indv. per site"
37,"Prop. kinship > 0.0442",0.0498423423423423,0.0165165165165165,0.0975975975975976,"Additional sampling","5 indv. per site"
6,"Mean kinship coefficient",0.272380654746417,0.272380654746417,0.272380654746417,"Additional sampling","5 indv. per site"
7,"Mean kinship coefficient",0.202386265779166,0.194557610533155,0.217776980031328,"Additional sampling","5 indv. per site"
8,"Mean kinship coefficient",0.163177447896567,0.145918207899866,0.197894383106891,"Additional sampling","5 indv. per site"
9,"Mean kinship coefficient",0.140403398638936,0.113491939477674,0.193789832848569,"Additional sampling","5 indv. per site"
10,"Mean kinship coefficient",0.127024802598528,0.0907935515821389,0.197445983177804,"Additional sampling","5 indv. per site"
11,"Mean kinship coefficient",0.104225726535832,0.0742856331126591,0.161546713509112,"Additional sampling","5 indv. per site"
12,"Mean kinship coefficient",0.0882802128026401,0.0619046942605492,0.141942154476494,"Additional sampling","5 indv. per site"
13,"Mean kinship coefficient",0.0798022254500962,0.0523808951435417,0.132413366021415,"Additional sampling","5 indv. per site"
14,"Mean kinship coefficient",0.0730500522249934,0.0448979101230357,0.129277562536932,"Additional sampling","5 indv. per site"
15,"Mean kinship coefficient",0.0694240548129586,0.038911522106631,0.130305449963623,"Additional sampling","5 indv. per site"
16,"Mean kinship coefficient",0.0617101285428932,0.0340475818433021,0.11401726871817,"Additional sampling","5 indv. per site"
17,"Mean kinship coefficient",0.0562322867395955,0.0300419839793842,0.104121453536145,"Additional sampling","5 indv. per site"
18,"Mean kinship coefficient",0.0512897401266626,0.0267039857594526,0.0982753685880192,"Additional sampling","5 indv. per site"
19,"Mean kinship coefficient",0.0494206297169437,0.0238930398900365,0.0963490332862615,"Additional sampling","5 indv. per site"
20,"Mean kinship coefficient",0.0474919418837838,0.0215037359010329,0.0968078881435278,"Additional sampling","5 indv. per site"
21,"Mean kinship coefficient",0.0435273325128167,0.0194557610533155,0.087714550865853,"Additional sampling","5 indv. per site"
22,"Mean kinship coefficient",0.03960728471366,0.0176870555030141,0.0814142668456773,"Additional sampling","5 indv. per site"
23,"Mean kinship coefficient",0.0378800737047157,0.016149050676665,0.0768444775163742,"Additional sampling","5 indv. per site"
24,"Mean kinship coefficient",0.0359795571517107,0.0148032964536096,0.0677317659665662,"Additional sampling","5 indv. per site"
25,"Mean kinship coefficient",0.0352866165588354,0.0136190327373208,0.0765094417957053,"Additional sampling","5 indv. per site"
26,"Mean kinship coefficient",0.032481184205242,0.01257141483445,0.0700811113572399,"Additional sampling","5 indv. per site"
27,"Mean kinship coefficient",0.0308100885441478,0.011640198920787,0.0655862531455811,"Additional sampling","5 indv. per site"
