"N_t","metric","mean","min","max","phase","strategy"
18,"Rare Alleles",0.284577782229791,0.265851948312131,0.298006611239106,"Additional sampling","1 indv. per site"
6,"Common Alleles",0.446749584224281,0.321572820147303,0.482775005939653,"Additional sampling","5 indv. per site"
7,"Common Alleles",0.52748325017819,0.437871228320266,0.615704442860537,"Additional sampling","5 indv. per site"
8,"Common Alleles",0.574771798526966,0.451888809693514,0.67735804229033,"Additional sampling","5 indv. per site"
9,"Common Alleles",0.605666072701354,0.454977429318128,0.727845093846519,"Additional sampling","5 indv. per site"
10,"Common Alleles",0.626923140888572,0.46032311712996,0.764433357091946,"Additional sampling","5 indv. per site"
11,"Common Alleles",0.704431931575196,0.526372059871704,0.816108339272986,"Additional sampling","5 indv. per site"
12,"Common Alleles",0.737367902114517,0.595272036113091,0.842599192207175,"Additional sampling","5 indv. per site"
13,"Common Alleles",0.756472083630316,0.597766690425279,0.861724875267284,"Additional sampling","5 indv. per site"
14,"Common Alleles",0.772497980517938,0.597291518175339,0.875148491328106,"Additional sampling","5 indv. per site"
15,"Common Alleles",0.78449857448325,0.601092896174863,0.889641244951295,"Additional sampling","5 indv. per site"
16,"Common Alleles",0.81982264195771,0.639344262295082,0.903540033262057,"Additional sampling","5 indv. per site"
17,"Common Alleles",0.835665241149917,0.694939415538133,0.9095984794488,"Additional sampling","5 indv. per site"
18,"Common Alleles",0.848250890947969,0.697790449037776,0.923734853884533,"Additional sampling","5 indv. per site"
19,"Common Alleles",0.856632573057733,0.706699928724163,0.932525540508434,"Additional sampling","5 indv. per site"
20,"Common Alleles",0.863551793775243,0.694345450225707,0.935138987883108,"Additional sampling","5 indv. per site"
21,"Common Alleles",0.884237704918033,0.753504395343312,0.947137087194108,"Additional sampling","5 indv. per site"
22,"Common Alleles",0.894606557377049,0.773224043715847,0.948443810881444,"Additional sampling","5 indv. per site"
23,"Common Alleles",0.900532192919933,0.778807317652649,0.952363981943455,"Additional sampling","5 indv. per site"
24,"Common Alleles",0.907780470420527,0.815395580898076,0.954502257068187,"Additional sampling","5 indv. per site"
25,"Common Alleles",0.910321810406272,0.772273699215966,0.958066048942742,"Additional sampling","5 indv. per site"
26,"Common Alleles",0.924241149916845,0.804585412211927,0.964599667379425,"Additional sampling","5 indv. per site"
27,"Common Alleles",0.929665835115229,0.822047992397244,0.969707769066287,"Additional sampling","5 indv. per site"
28,"Common Alleles",0.934817058683773,0.826086956521739,0.973746733190782,"Additional sampling","5 indv. per site"
29,"Common Alleles",0.937043597053932,0.853409360893324,0.975885008315514,"Additional sampling","5 indv. per site"
30,"Common Alleles",0.940221192682347,0.823948681397006,0.975647422190544,"Additional sampling","5 indv. per site"
31,"Common Alleles",0.947990140175814,0.881800902827275,0.979567593252554,"Additional sampling","5 indv. per site"
32,"Common Alleles",0.952072107388928,0.894986932763127,0.981111903064861,"Additional sampling","5 indv. per site"
33,"Common Alleles",0.955725231646472,0.903064861012117,0.983606557377049,"Additional sampling","5 indv. per site"
34,"Common Alleles",0.957443692088382,0.865882632454265,0.981824661439772,"Additional sampling","5 indv. per site"
35,"Common Alleles",0.959746733190782,0.888809693513899,0.984675694939416,"Additional sampling","5 indv. per site"
36,"Common Alleles",0.964414231408886,0.898788310762651,0.984794488001901,"Additional sampling","5 indv. per site"
37,"Common Alleles",0.967395224518888,0.913637443573295,0.988001900689,"Additional sampling","5 indv. per site"
6,"Rare Alleles",0.0642621456476009,0.0522888911148953,0.0816387859360913,"Additional sampling","5 indv. per site"
7,"Rare Alleles",0.0802578383251528,0.0621055794851247,0.102374035860964,"Additional sampling","5 indv. per site"
8,"Rare Alleles",0.0937733146348793,0.0663127316437944,0.120805369127517,"Additional sampling","5 indv. per site"
9,"Rare Alleles",0.104559350896524,0.0698186917760192,0.139737553841531,"Additional sampling","5 indv. per site"
10,"Rare Alleles",0.114683361714915,0.0739256736451968,0.155864970449765,"Additional sampling","5 indv. per site"
11,"Rare Alleles",0.13583041169989,0.0920564960432736,0.187017930481819,"Additional sampling","5 indv. per site"
12,"Rare Alleles",0.150398777922468,0.0962636482019433,0.202844836221577,"Additional sampling","5 indv. per site"
13,"Rare Alleles",0.161543824501653,0.101572673545027,0.218371231092858,"Additional sampling","5 indv. per site"
14,"Rare Alleles",0.172024040869478,0.107182209756586,0.239306821596714,"Additional sampling","5 indv. per site"
15,"Rare Alleles",0.181411800060102,0.10878493438846,0.252128618651708,"Additional sampling","5 indv. per site"
16,"Rare Alleles",0.199652609436041,0.129720524892317,0.270760292497245,"Additional sampling","5 indv. per site"
